,corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
0,nciw,45,0,99,1
1,lsid,36,234,541,0
2,pwls,23,555,23,0
3,bqlx,15,11,190,1
4,zmei,100,2929,999,1
5,wosl,2,1,1359,0
6,xcvb,0,14,282,1
7,dfgh,500,40,949,0
8,ngrd,1234,103,3782,1
9,xful,98765,7,655,0
10,kshe,34,2345,18,1
11,abcd,99,871,3,0
12,asdf,1243,0,10,0
13,xyzz,0,25,11,1
14,acme,813,129,9,1
15,qwer,2989,9982,90,0
16,tyui,395,190,99,0
17,zxcv,19028,999,81,0
18,hjkl,345,78,2,1
19,lmno,1024,14,3,1
20,qqqq,2145,182,110,1
21,corp,3891,101,998,0
22,ekci,10983,0,1200,0
23,dosk,118,929,81,1
24,endi,1992,19,2,0
25,gudj,455,94,298,1
